"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "Properties", "HTML", "Groovy", "comment", "blank", "total"
"c:\Users\PC\Desktop\projects\task_one\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\PC\Desktop\projects\task_one\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\PC\Desktop\projects\task_one\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\PC\Desktop\projects\task_one\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\PC\Desktop\projects\task_one\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\PC\Desktop\projects\task_one\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\PC\Desktop\projects\task_one\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\PC\Desktop\projects\task_one\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\PC\Desktop\projects\task_one\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\PC\Desktop\projects\task_one\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 534, 248, 13, 1245, 30, 56, 463, 8, 38, 94, 303, 403, 3435
